index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,thesis_tutor
252,14-Oct-2011,Rediseño del quirófano de intervenciones de neurocirugía del Hospital J. M. de los Ríos sobre la base de un estudio ergonómico,"Guerrero V., Isabel T.; Ocampo G., Rosalyn",5.39 MB,http://saber.ucv.ve/handle/10872/429,http://saber.ucv.ve/bitstream/10872/429/1/CD%20TESIS%20I2003%20G934.pdf,,thesis_pdf_all/252.pdf,True,True,False,escuela de ingenieria mecanica,Escuela de Ingeniería Mecanica,Brs
253,17-Oct-2011,Propuesta de un protocolo de enfermería para el manejo de gestantes con trastornos hipertensivos del embarazo en la unidad de medicina materno fetal de la Maternidad “Concepción Palacios” en el tercer trimestre del 2005,"REVERON, JENNIS",1.33 MB,http://saber.ucv.ve/handle/10872/434,http://saber.ucv.ve/bitstream/10872/434/1/tesis.pdf,,thesis_pdf_all/253.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,LUISA BETANCOURT
254,17-Oct-2011,Información de las madres de niños entre 0 2 años acerca del esquema de inmunizaciones antes y después de participar en un taller en el ambulatorio 12 de octubre de Petare Estado Miranda durante el segundo trimestre del 2005,"RODRÍGUEZ, KAREN; TRUJILLO, GLORIA",750.1 kB,http://saber.ucv.ve/handle/10872/435,http://saber.ucv.ve/bitstream/10872/435/1/INFORMACI_N_DE_LAS_MADRES_D.PDF,,thesis_pdf_all/254.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,AURA PEREZ ESCALANTE
255,17-Oct-2011,Control neurológico que realiza el profesional de enfermería de la unidad de cuidados intensivos en pacientes post operados de loe cerebral,"Urbina, Leife; Villamil, Mariana; Zambrano, Yuraisma",366.54 kB,http://saber.ucv.ve/handle/10872/436,http://saber.ucv.ve/bitstream/10872/436/1/control%20neurol%c3%b3gico.pdf,,thesis_pdf_all/255.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Lic Leila Revello
256,17-Oct-2011,Cuidados de enfermería a pacientes con sida hospitalizados en la unidad clínica de medicina interna del Hospital “Dr. Ricardo Baquero González” en Catia. en el segundo semestre del 2006,"Acosta R., Jeanmilet Y.; Banerjee M., Maria I; Ordaz A., Sarelis J.",182.55 kB,http://saber.ucv.ve/handle/10872/437,http://saber.ucv.ve/bitstream/10872/437/1/UNIVERSIDAD%20CENTRAL%20DE%20VENEZUELA.pdf,,thesis_pdf_all/256.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Sergio Campos
257,17-Oct-2011,Práctica de enfermería en la prevención de factores de riesgo cardiovasculares en usuarios que acuden a la consulta de cardiología del Hospital Dr. “Julio Criollo Rivas” de ciudad Bolívar Estado Bolívar en el segundo semestre del año 2005,"Quijada, Damelis; Rivas, Luisa",347.35 kB,http://saber.ucv.ve/handle/10872/433,http://saber.ucv.ve/bitstream/10872/433/1/Practica%20de%20Enfermeria%20en%20la%20Prevencion%20de%20Factores%20de%20Riesgo%20Cardivasculares.pdf,,thesis_pdf_all/257.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Francisco
258,17-Oct-2011,"Clima organizacional en las unidades clínicas, desde la percepción de los profesionales de enfermería, adscritos al área quirúrgica, servicios medicina A y medicina B, de la ciudad hospitalaria “Dr. Enrique Tejera”, Valencia Edo. Carabobo segundo semestre del año 2006","Angarita, Carmen; Tapia, Benit",991.03 kB,http://saber.ucv.ve/handle/10872/438,http://saber.ucv.ve/bitstream/10872/438/1/climaorganizacional.pdf,,thesis_pdf_all/258.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Evelia Figuera GuerraCI
259,17-Oct-2011,"Cuidados de enfermería en el manejo del recién nacido séptico que ingresa al servicio de la emergencia pediátrica del Hospital General de los Valles del Tuy “Simón Bolívar”, en el primer trimestre del año 2006.","Burgos, Aracelis",417.56 kB,http://saber.ucv.ve/handle/10872/439,http://saber.ucv.ve/bitstream/10872/439/1/UNIVERSIDAD%20CENTRAL%20DE%20VENEZUELA.pdf,,thesis_pdf_all/259.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Nelly Vasquez
260,17-Oct-2011,Información que poseen los estudiantes del 3er semestre de la Escuela de Enfermería de la UCV acerca de la donación voluntaria de sangre durante primer semestre de 2007,"Cadenas, Evelin; Reyes, Corina; Romero, Yaricsa",365.88 kB,http://saber.ucv.ve/handle/10872/440,http://saber.ucv.ve/bitstream/10872/440/1/TesisCadenasReyesRomero.pdf,,thesis_pdf_all/260.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Lic Eglee Benitez
261,17-Oct-2011,"Conformación de un grupo de apoyo de adolescentes para promover una educación sexual responsable, sustentada en el fortalecimiento de valores en la Escuela Técnica Agropecuaria (ETA) del municipio San Carlos, Estado Cojedes","Calvo, Mary; Mieres, Doris; Pacheco, Margaret",936.76 kB,http://saber.ucv.ve/handle/10872/441,http://saber.ucv.ve/bitstream/10872/441/1/trabajo%20especial%20de%20grado.pdf,,thesis_pdf_all/261.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,LIC FIDEL SANTOS LEON
196,30-Sep-2011,"Atención de enfermería en pacientes con VIH-SIDA en la Unidad Clínica de Medicina del Hospital 'Dr. Raúl Leoni Otero', San Félix, estado Bolívar en el tercer trimestre del año 2005","Becker, Elis; Rosas, Alida; Zorrilla, Maritza",589.01 kB,http://saber.ucv.ve/handle/10872/324,http://saber.ucv.ve/bitstream/10872/324/1/TESIS%2520BECKER-ROSAS-ZORRILLA%5b1%5d.pdf,,thesis_pdf_all/196.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Santiago Guerrero
264,17-Oct-2011,"Conocimientos que tiene el paciente con tuberculosis pulmonar para dar continuidad a sus cuidados una vez que egrese de la Unidad de Neumotisiología, complejo hospitalario “Dr. José Ignacio Baldo”, primer semestre 2006","Claro, María; Sojo, Eudez; Williams, Eddy",2.22 MB,http://saber.ucv.ve/handle/10872/445,http://saber.ucv.ve/bitstream/10872/445/1/T.E.G%20UCV%20Def..pdf,,thesis_pdf_all/264.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Ricarda Montano
194,30-Sep-2011,"Liderazgo de la enfermera en el cuidado de las adolescentes embarazas, controladas en la consulta prenatal de la Maternidad Concepción Palacios.","Álvarez, Thamara",713.18 kB,http://saber.ucv.ve/handle/10872/322,http://saber.ucv.ve/bitstream/10872/322/1/Tesis%20Liderazgo%20%20de%20la%20enfermera%20%28Thamara%29%20V.%20Final.pdf,,thesis_pdf_all/194.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Evelia Figuera Guerra
281,17-Oct-2011,"Propuesta de un programa radial dirigido por la enfermera comunitaria contra el alcoholismo en personas y comunidad ambulatorio urbano Ii Sarriá municipio Libertador, Caracas, 2do semestre 2006","Palacios, Brunilde",191.01 kB,http://saber.ucv.ve/handle/10872/464,http://saber.ucv.ve/bitstream/10872/464/1/Tesis%20Brunilde%20Palacios.pdf,,thesis_pdf_all/281.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Ricarda Montano
270,17-Oct-2011,Estándar de proceso para el cuidado de enfermería a pacientes quirúrgicos en el post-operatorio inmediato en la unidad de cuidados post-anestésicos del Hospital “Dr. Ricardo Baquero González”. primer trimestre año 2005,"Carrillo Q., Marlen E.",327.62 kB,http://saber.ucv.ve/handle/10872/452,http://saber.ucv.ve/bitstream/10872/452/1/Mrie%20Guerrero%20y%20Carla%20Romero.pdf,,thesis_pdf_all/270.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Lic Clara Esqueda
271,17-Oct-2011,"Estándar de Proceso basado en intervenciones de enfermería, para la administración de Diálisis Peritoneal Continua en pacientes con Insuficiencia Renal Crónica (IRC) atendidos en el Instituto Docente de Urología de Valencia. Estado Carabobo. Segundo semestre del año 2006.","Maduro, Itria; Sánchez, Margarita",1.08 MB,http://saber.ucv.ve/handle/10872/454,http://saber.ucv.ve/bitstream/10872/454/1/Versi%c3%b3n%20definitiva%20-%20Est%c3%a1ndar%20de%20proceso%20%28IRC%29.pdf,,thesis_pdf_all/271.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Evelia Figuera Guerra
272,17-Oct-2011,"Análisis geológico integrado en la Facies No-Roja de la Formación La Quinta (sección de carretera Jají - San Juan), Edo. Mérida","Hernández, Mauricio",15.56 MB,http://saber.ucv.ve/handle/10872/455,http://saber.ucv.ve/bitstream/10872/455/1/MauricioHernandez.pdf,,thesis_pdf_all/272.pdf,True,True,False,"escuela de geologia, minas y geofisica","Escuela de Geología, Minas y Geofísica",Paul Romero
273,17-Oct-2011,Efectividad de un programa de reanimación cardio pulmonar básico y avanzado aplicado al profesional de enfermería de las áreas críticas del Hospital “Dr. Adolfo Prince Lara” Puerto Cabello durante el primer semestre del año 2006,"Mendoza K., Valentina; Ortiz, Yureymis; Sarmiento, Dayana",3.53 MB,http://saber.ucv.ve/handle/10872/456,http://saber.ucv.ve/bitstream/10872/456/1/tina%20tesis.pdf,,thesis_pdf_all/273.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Lic Matilde Ortega
274,17-Oct-2011,Condiciones de trabajo bajo las cuales el profesional de enfermería desempeña sus funciones en el Instituto Médico “La Florida”,"Yamilka, Millán",533.68 kB,http://saber.ucv.ve/handle/10872/457,http://saber.ucv.ve/bitstream/10872/457/1/TESISYAMILKAMILL%c3%81N.pdf,,thesis_pdf_all/274.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Maribel Osorio
275,17-Oct-2011,"Información que poseen las enfermeras del servicio de retén general, sobre el cuidado del neonato pretérmino en la ciudad hospitalaria Dr. Enrique Tejera Valencia Estado Carabobo, año 2006","Moreno, Ana; Sánchez, Enelitza; Sánchez, Marither",453.17 kB,http://saber.ucv.ve/handle/10872/458,http://saber.ucv.ve/bitstream/10872/458/1/TESIS%20CUIDADO%20DEL%20NEONATO%20PRETERMINO%20COMPLETA.pdf,,thesis_pdf_all/275.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Nancy Montilla
276,17-Oct-2011,"Programa de orientación sobre hipertensión inducida por el embarazo, dirigida a la embarazada que asiste a la consulta de alto riesgo obstétrico del hospital “Dr. Domingo Luciani” del Llanito","Morillo, Olga; Pimentel, Maury",1.43 MB,http://saber.ucv.ve/handle/10872/459,http://saber.ucv.ve/bitstream/10872/459/1/tesis.pdf,,thesis_pdf_all/276.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Zaida Dominguez
277,17-Oct-2011,"Participación del profesional de enfermería en la prevención de flebitis en pacientes hospitalizados en la clínica Santa Sofía, durante el primer trimestre del año 2006","MOROS, MÁXIMO",176.16 kB,http://saber.ucv.ve/handle/10872/460,http://saber.ucv.ve/bitstream/10872/460/1/TESIS%20M%c3%81XIMO.pdf,,thesis_pdf_all/277.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Lic
278,17-Oct-2011,"Fármaco vigilancia de los antineoplásicos, utilizados en la unidad hemato-oncológica pediátrica del Hospital Universitario “Dr. Ángel Larralde”. Valencia Estado Carabobo durante el primer semestre del año 2006","Navarro, Yoleyda",896.59 kB,http://saber.ucv.ve/handle/10872/461,http://saber.ucv.ve/bitstream/10872/461/1/Trabajo%20especial%20de%20grado%20Yoleyda.pdf,,thesis_pdf_all/278.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,"Luis ,"
266,17-Oct-2011,"Norma de calidad de proceso para el cuidado de pacientes post-operados de cirugía general en la unidad de cuidados post-anestésicos del Hospital General “Dr. Miguel Pérez Carreño” de Caracas, Distrito Capital (propuesta)","DUARTE, ODAMELYS; REYES, MARÍA; SARMIENTO, VIAGNERIS",1.84 MB,http://saber.ucv.ve/handle/10872/447,http://saber.ucv.ve/bitstream/10872/447/1/TEG-Norma%20de%20Calidad%20de%20Proc%20Para%20Pac%20Postoperados%20de%20Cirg%20Gral%20en%20la%20UCPA%20I.pdf,,thesis_pdf_all/266.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,MgSc CARMENVALLENILLACARACAS
279,17-Oct-2011,Estrés laboral que presenta el personal profesional de enfermería que trabaja en la cámara hipobárica del servicio de sanidad aeronaútica de la aviación militar Venezolana.,"Ojeda M., Beatriz C.; González C., Juan B.",373.49 kB,http://saber.ucv.ve/handle/10872/462,http://saber.ucv.ve/bitstream/10872/462/1/tesis.pdf,,thesis_pdf_all/279.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,ANTONIO CASTRO
282,17-Oct-2011,"Análisis técnico - económico de sistemas de transporte de bauxita para la explotación de los bloques 5 al 10 del yacimiento de Los Pijiguaos, Estado Bolívar","Hernández G., Teobaldo J.",6.33 MB,http://saber.ucv.ve/handle/10872/465,http://saber.ucv.ve/bitstream/10872/465/1/T.E.G.%20Teobaldo%20Hern%c3%a1ndez.pdf,,thesis_pdf_all/282.pdf,True,True,False,"escuela de geologia, minas y geofisica","Escuela de Geología, Minas y Geofísica",Alex Villanueva
265,17-Oct-2011,Caracterización del síndrome diarreíco en niños menores de 5 años.  Servicio de emergencia pediátrica del Hospital Materno Infantil “Dr. Pastor Oropeza” Caricuao. marzo 2006 - marzo 2007.,"Colina, Maria Alejandra; Roa, Tibisay",203.94 kB,http://saber.ucv.ve/handle/10872/446,http://saber.ucv.ve/bitstream/10872/446/1/Tesis%20final.pdf,,thesis_pdf_all/265.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,TSU
283,17-Oct-2011,Conocimiento del profesional de enfermería del Área quirúrgica y sala de partos del Hospital Distrital de Bejuma sobre desechos biológicos año 2006.,"Pinto, Carmen; Ojeda, Naive; Pinto, Yasmin",254.54 kB,http://saber.ucv.ve/handle/10872/466,http://saber.ucv.ve/bitstream/10872/466/1/Trabajo%20Especial%20de%20Grado.pdf,,thesis_pdf_all/283.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Cilia Veliz
284,17-Oct-2011,"Intervención educativa de la enfermera comunitaria en la promoción del autocuidado en el paciente diabético atendido en la unidad diabetológica del Hospital Distrital de Bejuma.  Estado Carabobo, primer semestre 2006","RODRÍGUEZ, SOLANGE",332.79 kB,http://saber.ucv.ve/handle/10872/469,http://saber.ucv.ve/bitstream/10872/469/1/Tesis%20Rodr%c3%adguez%20Solange.pdf,,thesis_pdf_all/284.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,CARMEN VALLENILLA
285,17-Oct-2011,"Cuidados que brinda el profesional de enfermería de atención directa en la preparación y administración de medicamentos por vía endovenosa en el Centro Médico los Guayos del Estado Carabobo, durante el primer trimestre del año 2006","SEGOVIA, MIGDALIS; VISCAYA, NELLIVER",496.65 kB,http://saber.ucv.ve/handle/10872/471,http://saber.ucv.ve/bitstream/10872/471/1/tesis%20tratamiento%20endovenoso%20Mayo%202007.pdf,,thesis_pdf_all/285.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,EGLEE BENITEZ
286,17-Oct-2011,Comunicación terapéutica del profesional de enfermería con el paciente pediátrico quirúrgico y /o madre durante la fase preoperatorio en la unidad clínica del área quirúrgica del Hospital Pediátrico “Elías Toro” en el primer trimestre del año 2007,"Tovar, Heidy; Rojas, Desiree",261.02 kB,http://saber.ucv.ve/handle/10872/472,http://saber.ucv.ve/bitstream/10872/472/1/TESIS%20TOVAR%20Y%20ROJAS.pdf,,thesis_pdf_all/286.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,ROJASdoc
287,17-Oct-2011,Cuidados del profesional de enfermería dirigidos a las puerperas con eclampsia hospitalizadas en la unidad clínica de sala de parto del Hospital Universitario de Caracas primer semestre año 2008,"Altamirano, Bella; García, Lisbeth",253.6 kB,http://saber.ucv.ve/handle/10872/473,http://saber.ucv.ve/bitstream/10872/473/1/UNIVERSIDAD%20CENTRAL%20DE%20VENEZUELA.pdf,,thesis_pdf_all/287.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Fanny CeballoAutoras
288,17-Oct-2011,Práctica de enfermería en los pacientes pediátricos con drenaje de tórax en el Hospital Dr. Jorge Lizarraga de la Ciudad hospitalaria Dr. Enrique Tejera Valencia Estado Carabobo año 2007,"Araujo, Denny; Contreras, Alix; Liendo, Nancy",357.5 kB,http://saber.ucv.ve/handle/10872/474,http://saber.ucv.ve/bitstream/10872/474/1/tesis.pdf,,thesis_pdf_all/288.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Zaida Dominguez
289,17-Oct-2011,Programa educativo sobre las prácticas alimentarías en el hogar del paciente que recibe tratamiento con quimioterapia ambulatoria en el Hospital Oncológico Padre Machado ubicado en la parroquia Santa Rosalía del Cementerio en el segundo semestre del 2007,"Atencio, Luisa; Castillo, África",634.08 kB,http://saber.ucv.ve/handle/10872/476,http://saber.ucv.ve/bitstream/10872/476/1/tesis.pdf,,thesis_pdf_all/289.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Lic Eglee Benitez
290,17-Oct-2011,Diseño y construcción de un horno de curado para recubrimientos superficiales de aplicación electrostática,"Hofmayr, Johann; Linares S., Franklin D.",2.55 MB,http://saber.ucv.ve/handle/10872/477,http://saber.ucv.ve/bitstream/10872/477/1/Trabajo%20Especial%20de%20Grado.pdf,,thesis_pdf_all/290.pdf,True,True,False,escuela de ingenieria mecanica,Escuela de Ingeniería Mecanica,Pedro Cadenas
291,17-Oct-2011,"Información sobre la conservación de productos biológicos (vacunas) que tiene el personal de enfermería que labora en el ambulatorio Cardozo en la parroquia San Agustín adscrito al distrito sanitario n° 4, del Distrito Metropolitano, durante el segundo semestre año 2007","Belisario, Arelis; Gómez, Masiel; Sandoval, Lourdes",200.74 kB,http://saber.ucv.ve/handle/10872/478,http://saber.ucv.ve/bitstream/10872/478/1/TRABAJO%20COMPLETO.pdf,,thesis_pdf_all/291.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Benito GuerreroCaracas
292,17-Oct-2011,"Propuesta de rediseño ergonómico del quirófano tipo abdominal del Hospital Militar de Caracas ""Dr. Carlos Arvelo""","Jota V., Dangerwis E.; Molina R., Idelfonso J.",2.59 MB,http://saber.ucv.ve/handle/10872/479,http://saber.ucv.ve/bitstream/10872/479/1/Tesis.pdf,,thesis_pdf_all/292.pdf,True,True,False,escuela de ingenieria mecanica,Escuela de Ingeniería Mecanica,Antonio Barragan
280,17-Oct-2011,Efecto de la musicoterapia en pacientes hospitalizados en la unidad de cuidados coronarios,"ORTIZ, Maira Alejandra",1.42 MB,http://saber.ucv.ve/handle/10872/463,http://saber.ucv.ve/bitstream/10872/463/1/Efecto%20de%20la%20musicoterapia.pdf,,thesis_pdf_all/280.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Lore
262,17-Oct-2011,"Propuesta de un programa sobre auto cuidado en salud, dirigido a adolescentes embarazadas usuarias de la consulta prenatal del Hospital Distrital Bejuma, Estado Carabobo, año 2007.","Carmona, Mariana; Hurtado, Ylda; Marín, Gloria",530.83 kB,http://saber.ucv.ve/handle/10872/443,http://saber.ucv.ve/bitstream/10872/443/1/Programa%20Autocuidado%20Adolescentes%20Embarazdas.pdf,,thesis_pdf_all/262.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Aura Perez Escalante
293,17-Oct-2011,Minimización de los residuos provenientes de la generación de las resinas de las plantas desmineralizadoras del Centro Refinador Paraguaná - Amuay,"Lago R., Juan J.",2.94 MB,http://saber.ucv.ve/handle/10872/480,http://saber.ucv.ve/bitstream/10872/480/1/TEG%20del%20Br.%20Lago%20R.%2c%20Juan%20J..pdf,,thesis_pdf_all/293.pdf,True,True,False,escuela de ingenieria quimica,Escuela de Ingeniería Química,Jose Francisco Fernandez
268,17-Oct-2011,"Información que posee el personal de enfermería en la atención del paciente por intoxicación con organofosforados en la unidad de emergencia edultos del Hospital “Dr. Adolfo Prince Lara” en Puerto Cabello, Estado Carabobo. 2do semestre 2006","Emmauris, González",700.47 kB,http://saber.ucv.ve/handle/10872/450,http://saber.ucv.ve/bitstream/10872/450/1/conocimiento%20de%20enfermeria%20sobre%20paciente%20por%20intoxicaci%c3%b3n%20organofosforado%20Enmauris%20Gonzalez.pdf,,thesis_pdf_all/268.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Luis Magaldi
